"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val","distr.fit.class"
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snag_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"herb_loading_Mgha","gammaLL",90,0,1.563,0.224,0.143,3.133,0.529,0.169,0.18,0.018,"Good"
"X1hr_loading_Mgha","gammaLL",122,0.016,1.893,0.237,0.125,1.938,0.279,0.144,0,0.025,NA
"X10hr_loading_Mgha","gammaLL",122,0.008,2.269,0.285,0.126,0.697,0.098,0.14,0.162,0.007,"Excellent"
"X100hr_loading_Mgha","lnormLL",121,0.032,1.799,0.074,0.041,0.826,0.053,0.065,0.027,0.007,NA
"fwd_loading_summed_Mgha","gammaLL",122,0.008,2.562,0.324,0.126,0.21,0.029,0.139,0.31,0.019,"Excellent"
"fwd_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fwd_loading_Mgha","gammaLL",124,0.008,2.574,0.324,0.126,0.213,0.03,0.139,0.194,0.019,"Excellent"
"X1000hrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_Mgha","gammaLL",42,0.045,0.855,0.183,0.215,0.013,0.004,0.288,0.637,0.023,"Good"
"X10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_sound_loading_Mgha","gammaLL",78,0.13,0.9,0.132,0.147,0.054,0.01,0.193,0.193,0.021,"Good"
"cwd_rotten_loading_Mgha","gammaLL",77,0.152,1.159,0.179,0.154,0.056,0.011,0.192,0.633,0.019,"Good"
"cwd_loading_summedByPieceSizeClass_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_loading_summedBySR_Mgha","gammaLL",90,0.022,1.183,0.171,0.144,0.032,0.006,0.178,0.392,0.005,"Good"
"cwd_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_loading_Mgha","gammaLL",102,0.019,1.044,0.135,0.129,0.03,0.005,0.168,0.11,0.008,"Excellent"
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_cm","lnormLL",78,0,0.124,0.07,0.562,0.61,0.049,0.08,0.667,0.008,"Good"
"litter_loading_Mgha","lnormLL",96,0,1.6,0.061,0.038,0.599,0.043,0.071,0.618,0.009,"Good"
"duff_depth_cm","lnormLL",99,0,0.985,0.065,0.066,0.647,0.046,0.071,0.109,0.005,"Good"
"duff_loading_Mgha","gammaLL",97,0,2.439,0.343,0.141,0.081,0.013,0.159,0.338,0.014,"Good"
