"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val","distr.fit.class"
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_entered_Mgha","gammaLL",102,0.019,1.35,0.178,0.132,0.005,0.001,0.161,0,0.038,NA
"tree_loading_Mgha","gammaLL",102,0.019,1.35,0.179,0.133,0.005,0.001,0.16,0,0.038,NA
"snag_loading_Mgha","gammaLL",95,0.066,0.722,0.094,0.13,0.027,0.005,0.184,0.043,0.026,"Good"
"shrub_loading_Mgha","gammaLL",106,0.019,3.167,0.436,0.138,0.96,0.145,0.151,0.322,0.011,"Excellent"
"herb_loading_Mgha","gammaLL",112,0,1.827,0.236,0.129,2.551,0.383,0.15,0,0.034,NA
"X1hr_loading_Mgha","gammaLL",124,0.008,1.519,0.181,0.119,3.553,0.501,0.141,0.272,0.015,"Excellent"
"X10hr_loading_Mgha","gammaLL",243,0.016,1.493,0.128,0.086,0.573,0.058,0.101,0.09,0.011,"Excellent"
"X100hr_loading_Mgha","gammaLL",234,0.056,1.535,0.132,0.086,0.243,0.025,0.102,0.018,0.013,NA
"fwd_loading_summed_Mgha","gammaLL",126,0.008,1.424,0.171,0.12,0.175,0.025,0.143,0.844,0.007,"Excellent"
"fwd_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fwd_loading_Mgha","gammaLL",126,0.008,1.424,0.165,0.116,0.175,0.025,0.141,0.834,0.007,"Excellent"
"X1000hrS_loading_Mgha","gammaLL",116,0.078,1.487,0.188,0.126,0.119,0.018,0.15,0.164,0.01,"Excellent"
"X1000hrR_loading_Mgha","gammaLL",49,0.578,1.558,0.33,0.212,0.355,0.089,0.251,0.183,0.019,"Good"
"X1000hr_loading_summed_Mgha","gammaLL",117,0.062,1.531,0.19,0.124,0.105,0.015,0.147,0.769,0.008,"Excellent"
"X1000hr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_Mgha","gammaLL",137,0.054,1.395,0.159,0.114,0.079,0.011,0.137,0.698,0.012,"Excellent"
"X10KhrS_loading_Mgha","lnormLL",107,0.123,3.159,0.083,0.026,0.867,0.059,0.069,0.645,0.005,"Good"
"X10KhrR_loading_Mgha","gammaLL",51,0.582,1.666,0.338,0.203,0.066,0.016,0.239,0.19,0.013,"Good"
"X10Khr_loading_summed_Mgha","gammaLL",115,0.057,1.684,0.217,0.129,0.04,0.006,0.152,0.859,0.007,"Excellent"
"X10Khr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_Mgha","gammaLL",115,0.057,1.684,0.215,0.128,0.04,0.006,0.15,0.862,0.007,"Excellent"
"GT10KhrS_loading_Mgha","lnormLL",72,0.41,4.088,0.105,0.026,0.887,0.074,0.084,0.025,0.033,"Good"
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10Khr_loading_Mgha","lnormLL",85,0.303,4.135,0.101,0.024,0.929,0.072,0.077,0.044,0.025,"Good"
"cwd_sound_loading_Mgha","gammaLL",190,0.181,1.027,0.095,0.092,0.012,0.001,0.119,0.292,0.019,"Excellent"
"cwd_rotten_loading_Mgha","gammaLL",166,0.284,0.915,0.091,0.099,0.005,0.001,0.129,0.965,0.002,"Excellent"
"cwd_loading_summedByPieceSizeClass_Mgha","gammaLL",121,0.008,1.462,0.177,0.121,0.012,0.002,0.145,0.074,0.02,"Excellent"
"cwd_loading_summedBySR_Mgha","gammaLL",231,0.004,1.432,0.124,0.087,0.007,0.001,0.104,0.426,0.009,"Excellent"
"cwd_loading_entered_Mgha","gammaLL",329,0.018,1.017,0.071,0.07,0.007,0.001,0.089,0.169,0.007,"Excellent"
"cwd_loading_Mgha","gammaLL",329,0.018,1.017,0.071,0.07,0.007,0.001,0.09,0.168,0.007,"Excellent"
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_loading_Mgha","gammaLL",108,0,2.091,0.282,0.135,0.207,0.031,0.152,0.055,0.016,"Excellent"
"duff_depth_cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_loading_Mgha","gammaLL",107,0.009,2.055,0.272,0.133,0.044,0.007,0.149,0.001,0.019,NA
